year,Topic,rate,rank,Rubric
2002,topic_13,64.6591155006,7.0,bivs-SSR
2003,topic_13,55.39304664979997,7.0,bivs-SSR
2004,topic_13,52.915707889446956,16.0,bivs-SSR
2005,topic_13,124.65824588686999,13.0,bivs-SSR
2006,topic_13,148.39503487973994,11.0,bivs-SSR
2007,topic_13,181.4954138280002,10.0,bivs-SSR
2008,topic_13,172.65552822095003,10.0,bivs-SSR
2009,topic_13,178.97026373275884,13.0,bivs-SSR
2010,topic_13,180.89249600302998,11.0,bivs-SSR
2011,topic_13,241.87006705205957,3.0,bivs-SSR
2012,topic_13,289.0193628912401,1.0,bivs-SSR
2013,topic_13,275.2722391763396,2.0,bivs-SSR
2014,topic_13,161.7470303035142,13.0,bivs-SSR
2015,topic_13,108.39539878833,14.0,bivs-SSR
2016,topic_13,127.60071522589996,16.0,bivs-SSR
2017,topic_13,81.9497549389699,16.0,bivs-SSR
2018,topic_13,44.51988709200003,17.0,bivs-SSR
1999,topic_14,12.053886456395004,6.0,bivs-SSR
2000,topic_14,76.24711273740394,4.0,bivs-SSR
2001,topic_14,61.555448106900016,6.0,bivs-SSR
2002,topic_14,71.43797285055992,6.0,bivs-SSR
2003,topic_14,49.91245489203,8.0,bivs-SSR
2004,topic_14,85.60486092125598,10.0,bivs-SSR
2005,topic_14,122.16404036926009,15.0,bivs-SSR
2006,topic_14,91.9090499502171,18.0,bivs-SSR
2007,topic_14,90.30763587786,19.0,bivs-SSR
2008,topic_14,171.4923297484979,11.0,bivs-SSR
2009,topic_14,129.79089907808,18.0,bivs-SSR
2010,topic_14,86.62513272477,19.0,bivs-SSR
2011,topic_14,65.35068371137,19.0,bivs-SSR
2012,topic_14,77.99655338060998,19.0,bivs-SSR
2013,topic_14,67.52082993439998,19.0,bivs-SSR
2014,topic_14,581.3429663466811,3.0,bivs-SSR
2015,topic_14,414.4564092759504,2.0,bivs-SSR
2016,topic_14,369.4132907588898,7.0,bivs-SSR
2017,topic_14,305.1837685471998,4.0,bivs-SSR
2018,topic_14,103.17617774081015,6.0,bivs-SSR
1999,topic_15,14.7781900813,4.0,bivs-SSR
2000,topic_15,114.56141403379995,2.0,bivs-SSR
2001,topic_15,121.49232251139996,2.0,bivs-SSR
2002,topic_15,224.0395881282999,1.0,bivs-SSR
2003,topic_15,126.63212170920004,2.0,bivs-SSR
2004,topic_15,298.98618776654615,2.0,bivs-SSR
2005,topic_15,204.45854532023768,5.0,bivs-SSR
2006,topic_15,295.2254301004804,3.0,bivs-SSR
2007,topic_15,207.31652896154995,9.0,bivs-SSR
2008,topic_15,543.0104433952911,1.0,bivs-SSR
2009,topic_15,250.0814828132402,6.0,bivs-SSR
2010,topic_15,118.84572469046007,17.0,bivs-SSR
2011,topic_15,104.50932772779989,17.0,bivs-SSR
2012,topic_15,99.72884994329002,17.0,bivs-SSR
2013,topic_15,78.80148535410002,18.0,bivs-SSR
2014,topic_15,50.67084835327004,20.0,bivs-SSR
2015,topic_15,35.52034041133398,20.0,bivs-SSR
2016,topic_15,40.92925262596001,20.0,bivs-SSR
2017,topic_15,46.64282508729994,18.0,bivs-SSR
2018,topic_15,13.339137123000002,20.0,bivs-SSR
1999,topic_16,4.825440655560001,19.0,bivs-SSR
2000,topic_16,23.87257872699999,18.0,bivs-SSR
2001,topic_16,28.217456367900006,17.0,bivs-SSR
2002,topic_16,29.937396059399983,17.0,bivs-SSR
2003,topic_16,27.215895165569997,17.0,bivs-SSR
2004,topic_16,43.57869055700003,17.0,bivs-SSR
2005,topic_16,124.23849025945677,14.0,bivs-SSR
2006,topic_16,109.16178400198005,16.0,bivs-SSR
2007,topic_16,217.3314779451602,8.0,bivs-SSR
2008,topic_16,155.23760220735008,13.0,bivs-SSR
2009,topic_16,210.7291197406702,10.0,bivs-SSR
2010,topic_16,178.30052500366006,13.0,bivs-SSR
2011,topic_16,153.0586046551501,11.0,bivs-SSR
2012,topic_16,170.9488495932999,9.0,bivs-SSR
2013,topic_16,166.648191341135,10.0,bivs-SSR
2014,topic_16,153.31738559678024,14.0,bivs-SSR
2015,topic_16,133.07651237020002,13.0,bivs-SSR
2016,topic_16,224.50238089461038,11.0,bivs-SSR
2017,topic_16,197.06368609412633,11.0,bivs-SSR
2018,topic_16,68.61887437360001,11.0,bivs-SSR
1999,topic_17,5.7083120347,17.0,bivs-SSR
2000,topic_17,18.148956615276,19.0,bivs-SSR
2001,topic_17,26.680665083399987,18.0,bivs-SSR
2002,topic_17,20.31862857096999,19.0,bivs-SSR
2003,topic_17,40.205601784299986,13.0,bivs-SSR
2004,topic_17,10.664484600300003,19.0,bivs-SSR
2005,topic_17,136.32073100820003,11.0,bivs-SSR
2006,topic_17,84.11743789139997,19.0,bivs-SSR
2007,topic_17,121.05489018680005,17.0,bivs-SSR
